Candidato;Partido;Coligação;Situação;Votação;Receita_total
VIVIAN ALBUQUERQUE SÁ;SD;SD;Suplente;191;43573,7
VIVIAN SILVA FONTES;PSC;PSC;Suplente;266;1909,5699999999
VLAMIR BERNARDES DA SILVA;PRB;PRB;Suplente;2079;133878
WAGNER OSWALDO NARDONI SELA;PV;PV;Suplente;1063;5316,54
WAGNER ROBERTO DOS SANTOS;PSDC;PSDC;Não eleito;351;0
WAINES MOREIRA ALVES;PT;PT / PC do B;Suplente;8191;2975,0999999999
WALDIR BENETTI;PHS;PHS / PRP;Não eleito;948;10479,7
WALDIR LUIZ LAMBERTI;PTB;PTB;Suplente;1816;7719,45
WALDO BARRETO JUNIOR;PTB;PTB;Suplente;1010;7719,45
WALTER BONETTI;PRTB;PRTB;Não eleito;513;1985,1799999999
WALTER FELIX;PV;PV;Suplente;799;24000
WALTER JOSÉ GONÇALVES JUNIOR;PSDC;PSDC;Não eleito;244;1854,6599999999
WALTER LUIZ DE AZEVEDO;PRP;PHS / PRP;Não eleito;737;4560
WALTER SHINDI IIHOSHI;PSD;PMDB / PROS / PP / PSD;Suplente;88070;2193309,74
WALTER VICIONI GONÇALVES;PMDB;PMDB / PROS / PP / PSD;Suplente;54134;389385,39999999
WANDERLEY DIOGO DE MELO;PRP;PHS / PRP;Não eleito;2657;4150
WASHINGTON DE SOUZA LIRA;PRP;PHS / PRP;Não eleito;289;0
WELINGTON APARECIDO ALFREDO;PEN;PEN;Não eleito;2610;195
WILIAN DA SILVA CORDEIRO;PSOL;PSOL / PSTU;Suplente;395;2000
WILLIAM BOSS WOO;PV;PV;Suplente;54186;1119068,74
WILLIAM CARDOSO;PV;PV;Suplente;202;0
WILLIAM FERREIRA DA SILVA JUNIOR;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;819;0
WILLIAM GHIRALDI CARDOSO DE OLIVEIRA;PEN;PEN;Não eleito;63;0
WILLIAM JOSE PWA;PSC;PSC;Suplente;1026;3931,9499999999
WILLIAM NUNES AFFONSO;PDT;PDT;Suplente;5048;54446,889999999
WILLIANS ROCHA MONTEIRO;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;135;1310
WILLY YU;PSOL;PSOL / PSTU;Suplente;212;1000
WILMA PIRANI AMORIM;PSB;PSB;Suplente;741;8014,46
WILMAR LUCIANO BARBOSA;PSDC;PSDC;Não eleito;178;1645,98
WILSON DE SOUZA COELHO;PDT;PDT;Suplente;1454;25700
WILSON DIAS RIBEIRO;PMDB;PMDB / PROS / PP / PSD;Suplente;232;17342,52
WINNITU DIEGO DA SILVA TOZADORE;PSDC;PSDC;Não eleito;462;1331,5
YOSSEF AKIVA BEN AVRAHAM PESSOA DE PAULA;PEN;PEN;Não eleito;9297;12480
ZAFIRA ADELAIDE SANTOS;PSOL;PSOL / PSTU;Suplente;238;925
ZÉLIA PINTO DA SILVA;PSDC;PSDC;Não eleito;149;1411,25
ZENAIDE GONÇALVES VIANA;PRP;PHS / PRP;Não eleito;229;0
ZENÓBIO TADEU HILDEBRANDO GODOI;PRP;PHS / PRP;Não eleito;129;1732,5
ZULMIRA FREITAS DE PAULA SOUZA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;522;2086
