"NUMERO_CANDIDATO","QTDE_VOTOS"
"2208","9557"
"2209","214"
"2210","36043"
"2211","113707"
"2212","20507"
"2213","7920"
"2214","18940"
"2215","1197"
"2216","8040"
"2218","28"
"2219","445"
"2220","61980"
"2221","12039"
"2222","2700262"
"2223","168772"
"2224","333"
"2225","1884"
"2226","20053"
"2228","3238"
"2230","7772"
"2232","2147"
"2233","553603"
"2234","2978"
"2235","12018"
"2236","15929"
"2237","219"
"2238","9215"
"2240","19515"
"2241","78"
"2242","3237"
"2243","6702"
"2244","38381"
"2245","138540"
"2246","16191"
"2247","636"
"2248","13903"
"2250","27168"
"2251","136"
"2252","1002"
"2255","185115"
"2256","26287"
"2257","3371"
"2258","13574"
"2260","1129"
"2261","1230"
"2262","13716"
"2263","13558"
"2264","12448"
"2265","3300"
"2266","110909"
"2267","4238"
"2269","40593"
"2270","20969"
"2271","16481"
"2274","235"
"2275","560"
"2276","172"
"2277","46034"
"2278","3268"
"2280","47157"
"2281","5091"
"2286","52"
"2288","180981"
"2290","175513"
"2291","764"
"2293","125"
"2295","959"
"2297","3149"
"2299","196502"
"23","79863"
"2300","170192"
"2301","1883"
"2302","308"
"2303","311"
"2307","563"
"2308","1059"
"2310","775"
"2311","29757"
"2312","31231"
"2313","140"
"2314","99"
"2315","1214"
"2320","17498"
"2321","1385"
"2322","56573"
"2323","900952"
"2324","2061"
"2325","3020"
"2326","159"
"2328","345"
"2330","1000"
"2332","3314"
"2333","27783"
"2334","5214"
"2338","41"
"2340","4409"
"2343","164760"
"2344","245"
"2345","287978"
"2347","185"
"2350","725"
"2351","36952"
"2355","36"
"2356","2680"
"2358","1214"
"2360","79399"
"2362","13533"
"2363","396"
"2365","25946"
"2370","204"
"2377","505"
"2388","1855"
"2393","1369"
"2399","2133"
"25","217287"
"2500","280940"
"2501","1611"
"2505","260327"
"2510","91913"
"2511","117110"
"2512","192532"
"2513","111526"
"2514","3332"
"2515","15256"
"2516","1011"
"2517","5381"
"2520","49617"
"2521","88"
"2522","360676"
"2523","884"
"2525","1240620"
"2526","162862"
"2529","4850"
"2530","97"
"2531","294"
"2532","572"
"2533","65205"
"2535","11515"
"2539","83"
"2540","254"
"2544","3354"
"2545","4528"
"2547","2250"
"2550","2362"
"2551","960"
"2552","121710"
"2555","277891"
"2556","697"
"2558","522"
"2560","7755"
"2562","1754"
"2565","444"
"2566","656"
"2567","107"
"2570","55254"
"2572","44"
"2575","354"
"2577","267413"
"2580","72571"
"2587","53193"
"2588","28839"
"2590","818"
"2599","81"
"27","18948"
"2700","55028"
"2701","636"
"2702","605"
"2703","244"
"2704","1642"
"2705","480"
"2706","652"
"2707","29508"
"2708","207"
"2709","888"
"2710","1869"
"2711","845"
"2712","8529"
"2713","4830"
"2715","6588"
"2716","16"
"2717","2090"
"2718","234"
"2719","2787"
"2720","6430"
"2721","351"
"2722","9445"
"2723","16926"
"2724","1221"
"2725","163"
"2726","1839"
"2727","142713"
"2728","3257"
"2729","3242"
"2730","733"
"2731","149"
"2732","839"
"2733","3881"
"2734","162"
"2735","8394"
"2736","649"
"2737","12249"
"2739","1335"
"2740","442"
"2744","535"
"2745","816"
"2746","322"
"2747","7989"
"2748","144"
"2750","2134"
"2751","3768"
"2752","90"
"2754","73"
"2755","1992"
"2757","402"
"2759","396"
"2760","267"
"2761","2955"
"2763","2261"
"2764","1038"
"2766","1037"
"2767","582"
"2768","725"
"2769","511"
"2770","674"
"2771","1081"
"2773","324"
"2775","308"
"2777","32719"
"2778","305"
"2781","3415"
"2785","333"
"2786","13"
"2787","84"
"2788","3255"
"2789","33212"
"2790","52695"
"2791","1452"
"2793","5449"
"2794","208"
"2797","2937"
"2798","15"
"2799","3503"
"28","23195"
"2800","85371"
"2801","789"
"2802","671"
"2803","1110"
"2804","17"
"2806","694"
"2808","4379"
"2810","3985"
"2811","15807"
"2812","24451"
"2813","1525"
"2814","336"
"2815","2484"
"2816","2150"
"2817","2489"
"2818","190"
"2819","511"
"2820","537"
"2821","1957"
"2822","4633"
"2823","4037"
"2824","2930"
"2825","209"
"2827","3037"
"2828","56536"
"2829","4055"
"2830","346"
"2831","162"
"2833","3535"
"2834","298"
"2835","2265"
"2838","7969"
"2840","2560"
"2843","280"
"2844","1323"
"2845","438"
"2848","115"
"2850","427"
"2851","14569"
"2852","83"
"2853","512"
"2854","402"
"2855","15121"
"2856","1428"
"2858","580"
"2860","159"
"2862","2058"
"2864","387"
"2866","594"
"2867","595"
"2868","843"
"2869","2042"
"2870","8037"
"2871","224"
"2876","1457"
